,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,eventType,cumulative_mins,index,id,home_team_id,away_team_id,ftScore,match_date,progressive_pass,xThreat,xThreat_gen,lead_to_shot,lead_to_goal,key_pass,isAssist,isCross,isCorner,isFreekick,isGoalkick,is_offensive,is_bigchance,is_penalty,is_own_goal,X,Y,EndX,EndY,BlockedX,BlockedY,GoalMouthY,isblocked,body,isShotonTarget,name,short_name,team_id,team_name
0,2.0,0.0,0.0,167,0.0,0.0,0.0,1.0,Start,Successful,[],[],False,,,,,,,,,,,,,0.0,1729305,Start,0.0,0.0,2602286921.0,13.0,167.0,1-0,08 October 2023,,,,,False,False,,False,,,,,,,False,0.0,0.0,,,,,,,,False,,,167,Man City
1,2.0,0.0,0.0,13,0.0,0.0,0.0,1.0,Start,Successful,[],[],False,,,,,,,,,,,,,0.0,1729305,Start,0.0,1.0,2602286951.0,13.0,167.0,1-0,08 October 2023,,,,,False,False,,False,,,,,,,False,0.0,0.0,,,,,,,,False,,,13,Arsenal
2,3.0,0.0,0.0,167,49.7,49.9,0.0,1.0,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.31'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.1'}]","[91, 117, 30, 35, 38, 215, 218]",True,93894.0,22.4,42.7,,,,,,,,,,0.0,1729305,Pass,0.0,2.0,2602286993.0,13.0,167.0,1-0,08 October 2023,,-0.005449886020547568,0.0,,False,False,,False,,,,,,,False,59.64,39.92,26.88,34.160000000000004,,,,,,False,Mateo Kovacic,M.Kovacic,167,Man City
3,4.0,0.0,5.0,167,24.1,44.0,0.0,1.0,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.2'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.95'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '100.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '84.9'}, {'type': {'value': 155, 'displayName': 'Chipped'}}]","[91, 120, 124, 128, 36, 38, 217, 218]",True,121774.0,100.0,3.2,,,,,,,,,,0.0,1729305,Pass,0.08333333333333333,3.0,2602287147.0,13.0,167.0,1-0,08 October 2023,True,,,,False,False,,False,,,,,,,False,28.92,35.2,120.0,2.5600000000000005,,,,,,False,Ederson,E.Ederson,167,Man City
4,4.0,0.0,40.0,13,5.1,46.7,0.0,1.0,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.79'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '63.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '2.8'}, {'type': {'value': 124, 'displayName': 'GoalKick'}}, {'type': {'value': 74, 'displayName': 'MissHigh'}}]","[91, 119, 117, 127, 36, 38, 216, 218]",True,276366.0,57.9,2.8,,,,,,,,,,0.0,1729305,Pass,0.6666666666666666,4.0,2602287645.0,13.0,167.0,1-0,08 October 2023,True,0.006400905135135136,0.006400905135135136,,False,False,,False,,,True,,,,False,6.119999999999999,37.36000000000001,69.47999999999999,2.2399999999999998,,,,,,False,David Raya,D.Raya,13,Arsenal
5,5.0,0.0,44.0,13,57.9,2.8,0.0,1.0,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.28'}]","[91, 120, 29, 139, 36, 37, 216, 218]",True,279379.0,66.4,6.6,,,,,,,,,,0.0,1729305,Pass,0.7333333333333333,5.0,2602287653.0,13.0,167.0,1-0,08 October 2023,,,,,False,False,,False,,,,,,,False,69.47999999999999,2.2399999999999998,79.68,5.28,,,,,head,False,Gabriel Jesus,G.Jesus,13,Arsenal
6,6.0,0.0,45.0,167,32.6,92.4,0.0,1.0,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.00'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '89.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,402664.0,39.3,89.4,,,,,,,,,,0.0,1729305,Pass,0.75,6.0,2602287669.0,13.0,167.0,1-0,08 October 2023,,,,,False,False,,False,,,,,,,False,39.12,73.92,47.16,71.52000000000001,,,,,head,False,Josko Gvardiol,J.Gvardiol,167,Man City
7,6.0,0.0,47.0,13,56.1,12.3,0.0,1.0,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '59.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.33'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,106968.0,59.5,4.9,,,,,,,,,,0.0,1729305,Pass,0.7833333333333333,7.0,2602287707.0,13.0,167.0,1-0,08 October 2023,,0.0004533210672834978,0.0004533210672834978,,False,False,,False,,,,,,,False,67.32,9.840000000000002,71.39999999999999,3.9200000000000004,,,,,,False,Jorginho,J.Jorginho,13,Arsenal
8,7.0,0.0,49.0,13,61.2,4.9,0.0,1.0,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '87.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.08'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.2'}]","[91, 120, 29, 36, 37, 217, 218]",True,279379.0,87.8,8.2,,,,,,,,,,0.0,1729305,Pass,0.8166666666666667,8.0,2602287751.0,13.0,167.0,1-0,08 October 2023,True,,,,False,False,,False,,,,,,,False,73.44,3.9200000000000004,105.36,6.56,,,,,,False,Gabriel Jesus,G.Jesus,13,Arsenal
9,7.0,0.0,51.0,167,15.6,90.3,0.0,1.0,BallRecovery,Successful,[],[93],False,122945.0,,,,,,,,,,,,0.0,1729305,BallRecovery,0.85,9.0,2602287765.0,13.0,167.0,1-0,08 October 2023,,,,,False,False,,False,,,,,,,False,18.72,72.24,,,,,,,,False,Nathan Aké,N.Aké,167,Man City
